Age,Month,Year,Location,Status,Count,Source,Date,Note
Infants,May,2019,Jim Dooley Ctr,Site Capacity,16,Kathy Ryrko kathy.ryrko@flhealth.org,2019-2025,
Toddlers,May,2019,Jim Dooley Ctr,Site Capacity,24,Kathy Ryrko kathy.ryrko@flhealth.org,2019-2025,
Pre-K,May,2019,Jim Dooley Ctr,Site Capacity,67,Kathy Ryrko kathy.ryrko@flhealth.org,2019-2025,
School-Age,May,2019,Jim Dooley Ctr,Site Capacity,21,Kathy Ryrko kathy.ryrko@flhealth.org,2019-2025,
Infants,May,2019,Jim Dooley Ctr,Wait List,66,Kathy Ryrko kathy.ryrko@flhealth.org,2019-05,
Toddlers,May,2019,Jim Dooley Ctr,Wait List,49,Kathy Ryrko kathy.ryrko@flhealth.org,2019-05,
Pre-K,May,2019,Jim Dooley Ctr,Wait List,132,Kathy Ryrko kathy.ryrko@flhealth.org,2019-05,
School-Age,May,2019,Jim Dooley Ctr,Wait List,50,Kathy Ryrko kathy.ryrko@flhealth.org,2019-05,
Infants,March,2020,Jim Dooley Ctr,Wait List,45,Kathy Ryrko kathy.ryrko@flhealth.org,2020-03,
Toddlers,March,2020,Jim Dooley Ctr,Wait List,60,Kathy Ryrko kathy.ryrko@flhealth.org,2020-03,
Pre-K,March,2020,Jim Dooley Ctr,Wait List,124,Kathy Ryrko kathy.ryrko@flhealth.org,2020-03,
School-Age,March,2020,Jim Dooley Ctr,Wait List,50,Kathy Ryrko kathy.ryrko@flhealth.org,2020-03,
Infants,Sept,2021,Jim Dooley Ctr,Wait List,55,Kyle.Vanderlip@flhealth.org,2021-09,
Toddlers,Sept,2021,Jim Dooley Ctr,Wait List,70,Kyle.Vanderlip@flhealth.org,2021-09,
Pre-K,Sept,2021,Jim Dooley Ctr,Wait List,120,Kyle.Vanderlip@flhealth.org,2021-09,
School-Age,Sept,2021,Jim Dooley Ctr,Wait List,70,Kyle.Vanderlip@flhealth.org,2021-09,
Infants,Sept,2021,Others,Wait List,18,Julie Champion,2021-09,
Toddlers,Sept,2021,Others,Wait List,20,Julie Champion,2021-09,
Pre-K,Sept,2021,Others,Wait List,24,Julie Champion,2021-09,
School-Age,Sept,2021,Others,Wait List,36,Julie Champion,2021-09,
Toddlers,Sept,2021,Others,Site Capacity,50,Julie Champion,2021-09,
Pre-K,Sept,2021,Others,Site Capacity,71,Julie Champion,2021-09,
School-Age,Sept,2021,Others,Site Capacity,248,Julie Champion,2021-09,
Infants,May,2019,Others,Site Capacity,222,Julie Champion,2021-09,
Infants,May,2019,Jim Dooley Ctr,Site Capacity,16,Kathy Ryrko kathy.ryrko@flhealth.org,2015-2018,
Toddlers,May,2019,Jim Dooley Ctr,Site Capacity,24,Kathy Ryrko kathy.ryrko@flhealth.org,2015-2018,
Pre-K,May,2019,Jim Dooley Ctr,Site Capacity,49,Kathy Ryrko kathy.ryrko@flhealth.org,2015-2018,
School-Age,May,2019,Jim Dooley Ctr,Site Capacity,39,Kathy Ryrko kathy.ryrko@flhealth.org,2015-2018,
Infants,March,2022,Jim Dooley Ctr,Wait List,20,Julie Champion,2022-03,
Toddlers,March,2022,Jim Dooley Ctr,Wait List,20,Julie Champion,2022-03,
Pre-K,March,2022,Jim Dooley Ctr,Wait List,10,Julie Champion,2022-03,
School-Age,March,2022,Jim Dooley Ctr,Wait List,10,Julie Champion,2022-03,
Infants,June,2022,Jim Dooley Ctr,Wait List,20,Julie Champion,2022-06,
Toddlers,June,2022,Jim Dooley Ctr,Wait List,20,Julie Champion,2022-06,
Pre-K,June,2022,Jim Dooley Ctr,Wait List,10,Julie Champion,2022-06,
School-Age,June,2022,Jim Dooley Ctr,Wait List,10,Julie Champion,2022-06,
Infants,March,2022,Other Day Care Ctrs,Wait List,6,Julie Champion,2022-03,
Toddlers,March,2022,Other Day Care Ctrs,Wait List,8,Julie Champion,2022-03,
Pre-K,March,2022,Other Day Care Ctrs,Wait List,15,Julie Champion,2022-03,
School-Age,March,2022,Other Day Care Ctrs,Wait List,20,Julie Champion,2022-03,
Infants,June,2022,Other Day Care Ctrs,Wait List,14,Julie Champion,2022-06,
Toddlers,June,2022,Other Day Care Ctrs,Wait List,12,Julie Champion,2022-06,
Pre-K,June,2022,Other Day Care Ctrs,Wait List,17,Julie Champion,2022-06,
