"Year","Table","County","Birth Weight in Grams","Number of Live Births"
"2022","11a","Albany","Unknown","2"
"2022","11a","Albany","3500+","932"
"2022","11a","Albany","3000-3499","1,054"
"2022","11a","Albany","2500-2999","575"
"2022","11a","Albany","2000-2499","143"
"2022","11a","Albany","1500-1999","63"
"2022","11a","Albany","1000-1499","28"
"2022","11a","Albany","Under 1000","22"
"2022","11a","Albany","Total","2,819"
"2022","11a","Allegany","Total","472"
"2022","11a","Allegany","Under 1000","6"
"2022","11a","Allegany","1000-1499","2"
"2022","11a","Allegany","1500-1999","3"
"2022","11a","Allegany","2000-2499","29"
"2022","11a","Allegany","2500-2999","72"
"2022","11a","Allegany","3000-3499","161"
"2022","11a","Allegany","3500+","186"
"2022","11a","Allegany","Unknown","13"
"2022","11a","Bronx","1000-1499","163"
"2022","11a","Bronx","Total","16,728"
"2022","11a","Bronx","Under 1000","138"
"2022","11a","Bronx","1500-1999","350"
"2022","11a","Bronx","2000-2499","1,148"
"2022","11a","Bronx","2500-2999","3,824"
"2022","11a","Bronx","3000-3499","6,637"
"2022","11a","Bronx","3500+","4,464"
"2022","11a","Bronx","Unknown","4"
"2022","11a","Broome","Under 1000","14"
"2022","11a","Broome","Total","1,685"
"2022","11a","Broome","Unknown","2"
"2022","11a","Broome","3500+","575"
"2022","11a","Broome","3000-3499","633"
"2022","11a","Broome","2500-2999","329"
"2022","11a","Broome","2000-2499","94"
"2022","11a","Broome","1500-1999","27"
"2022","11a","Broome","1000-1499","11"
"2022","11a","Cattaraugus","1000-1499","2"
"2022","11a","Cattaraugus","Total","796"
"2022","11a","Cattaraugus","Unknown","101"
"2022","11a","Cattaraugus","3500+","249"
"2022","11a","Cattaraugus","Under 1000","5"
"2022","11a","Cattaraugus","3000-3499","246"
"2022","11a","Cattaraugus","2500-2999","132"
"2022","11a","Cattaraugus","2000-2499","48"
"2022","11a","Cattaraugus","1500-1999","13"
"2022","11a","Cayuga","Under 1000","4"
"2022","11a","Cayuga","Total","706"
"2022","11a","Cayuga","Unknown","1"
"2022","11a","Cayuga","3500+","280"
"2022","11a","Cayuga","3000-3499","238"
"2022","11a","Cayuga","2500-2999","133"
"2022","11a","Cayuga","2000-2499","32"
"2022","11a","Cayuga","1500-1999","11"
"2022","11a","Cayuga","1000-1499","7"
"2022","11a","Chautauqua","1500-1999","21"
"2022","11a","Chautauqua","Total","1,157"
"2022","11a","Chautauqua","Under 1000","8"
"2022","11a","Chautauqua","1000-1499","11"
"2022","11a","Chautauqua","2000-2499","51"
"2022","11a","Chautauqua","2500-2999","200"
"2022","11a","Chautauqua","3000-3499","406"
"2022","11a","Chautauqua","3500+","414"
"2022","11a","Chautauqua","Unknown","46"
"2022","11a","Chemung","Total","802"
"2022","11a","Chemung","Unknown","0"
"2022","11a","Chemung","3500+","282"
"2022","11a","Chemung","3000-3499","281"
"2022","11a","Chemung","2500-2999","166"
"2022","11a","Chemung","2000-2499","41"
"2022","11a","Chemung","1500-1999","17"
"2022","11a","Chemung","1000-1499","10"
"2022","11a","Chemung","Under 1000","5"
"2022","11a","Chenango","Under 1000","0"
"2022","11a","Chenango","Total","465"
"2022","11a","Chenango","1000-1499","2"
"2022","11a","Chenango","1500-1999","8"
"2022","11a","Chenango","2000-2499","23"
"2022","11a","Chenango","2500-2999","76"
"2022","11a","Chenango","3000-3499","169"
"2022","11a","Chenango","3500+","184"
"2022","11a","Chenango","Unknown","3"
"2022","11a","Clinton","1000-1499","5"
"2022","11a","Clinton","Total","615"
"2022","11a","Clinton","Unknown","1"
"2022","11a","Clinton","3500+","223"
"2022","11a","Clinton","3000-3499","229"
"2022","11a","Clinton","2500-2999","114"
"2022","11a","Clinton","2000-2499","28"
"2022","11a","Clinton","1500-1999","8"
"2022","11a","Clinton","Under 1000","7"
"2022","11a","Columbia","Under 1000","2"
"2022","11a","Columbia","Total","473"
"2022","11a","Columbia","Unknown","3"
"2022","11a","Columbia","3500+","176"
"2022","11a","Columbia","3000-3499","174"
"2022","11a","Columbia","2500-2999","93"
"2022","11a","Columbia","2000-2499","18"
"2022","11a","Columbia","1500-1999","4"
"2022","11a","Columbia","1000-1499","3"
"2022","11a","Cortland","2000-2499","19"
"2022","11a","Cortland","Total","455"
"2022","11a","Cortland","Under 1000","3"
"2022","11a","Cortland","1000-1499","4"
"2022","11a","Cortland","1500-1999","7"
"2022","11a","Cortland","2500-2999","77"
"2022","11a","Cortland","3000-3499","172"
"2022","11a","Cortland","3500+","156"
"2022","11a","Cortland","Unknown","17"
"2022","11a","Delaware","Total","350"
"2022","11a","Delaware","Unknown","0"
"2022","11a","Delaware","3500+","128"
"2022","11a","Delaware","3000-3499","146"
"2022","11a","Delaware","2500-2999","52"
"2022","11a","Delaware","2000-2499","15"
"2022","11a","Delaware","1500-1999","4"
"2022","11a","Delaware","1000-1499","1"
"2022","11a","Delaware","Under 1000","4"
"2022","11a","Dutchess","Total","2,615"
"2022","11a","Dutchess","Unknown","3"
"2022","11a","Dutchess","3500+","956"
"2022","11a","Dutchess","3000-3499","1,000"
"2022","11a","Dutchess","2500-2999","465"
"2022","11a","Dutchess","2000-2499","124"
"2022","11a","Dutchess","1500-1999","38"
"2022","11a","Dutchess","1000-1499","20"
"2022","11a","Dutchess","Under 1000","9"
"2022","11a","Erie","Total","9,087"
"2022","11a","Erie","Unknown","13"
"2022","11a","Erie","3500+","3,045"
"2022","11a","Erie","3000-3499","3,381"
"2022","11a","Erie","2500-2999","1,829"
"2022","11a","Erie","2000-2499","516"
"2022","11a","Erie","1500-1999","175"
"2022","11a","Erie","1000-1499","71"
"2022","11a","Erie","Under 1000","57"
"2022","11a","Essex","Total","263"
"2022","11a","Essex","Under 1000","1"
"2022","11a","Essex","1000-1499","7"
"2022","11a","Essex","1500-1999","4"
"2022","11a","Essex","2000-2499","13"
"2022","11a","Essex","2500-2999","45"
"2022","11a","Essex","3000-3499","86"
"2022","11a","Essex","3500+","101"
"2022","11a","Essex","Unknown","6"
"2022","11a","Franklin","3000-3499","167"
"2022","11a","Franklin","Total","441"
"2022","11a","Franklin","Under 1000","1"
"2022","11a","Franklin","1000-1499","0"
"2022","11a","Franklin","1500-1999","4"
"2022","11a","Franklin","2000-2499","23"
"2022","11a","Franklin","2500-2999","53"
"2022","11a","Franklin","3500+","188"
"2022","11a","Franklin","Unknown","5"
"2022","11a","Fulton","Under 1000","6"
"2022","11a","Fulton","Total","507"
"2022","11a","Fulton","1000-1499","3"
"2022","11a","Fulton","1500-1999","8"
"2022","11a","Fulton","2000-2499","33"
"2022","11a","Fulton","2500-2999","95"
"2022","11a","Fulton","3000-3499","190"
"2022","11a","Fulton","3500+","171"
"2022","11a","Fulton","Unknown","1"
"2022","11a","Genesee","Total","553"
"2022","11a","Genesee","1000-1499","4"
"2022","11a","Genesee","Under 1000","2"
"2022","11a","Genesee","1500-1999","11"
"2022","11a","Genesee","2000-2499","26"
"2022","11a","Genesee","2500-2999","84"
"2022","11a","Genesee","3000-3499","208"
"2022","11a","Genesee","3500+","218"
"2022","11a","Genesee","Unknown","0"
"2022","11a","Greene","3500+","142"
"2022","11a","Greene","Total","379"
"2022","11a","Greene","Under 1000","2"
"2022","11a","Greene","1000-1499","3"
"2022","11a","Greene","1500-1999","6"
"2022","11a","Greene","2000-2499","16"
"2022","11a","Greene","2500-2999","58"
"2022","11a","Greene","3000-3499","151"
"2022","11a","Greene","Unknown","1"
"2022","11a","Hamilton","3500+","8"
"2022","11a","Hamilton","3000-3499","12"
"2022","11a","Hamilton","2500-2999","3"
"2022","11a","Hamilton","2000-2499","1"
"2022","11a","Hamilton","1500-1999","0"
"2022","11a","Hamilton","1000-1499","0"
"2022","11a","Hamilton","Under 1000","0"
"2022","11a","Hamilton","Unknown","0"
"2022","11a","Hamilton","Total","24"
"2022","11a","Herkimer","Unknown","3"
"2022","11a","Herkimer","3500+","225"
"2022","11a","Herkimer","3000-3499","219"
"2022","11a","Herkimer","2500-2999","99"
"2022","11a","Herkimer","2000-2499","30"
"2022","11a","Herkimer","1500-1999","7"
"2022","11a","Herkimer","1000-1499","4"
"2022","11a","Herkimer","Under 1000","4"
"2022","11a","Herkimer","Total","591"
"2022","11a","Jefferson","Total","1,759"
"2022","11a","Jefferson","Unknown","4"
"2022","11a","Jefferson","3500+","608"
"2022","11a","Jefferson","3000-3499","703"
"2022","11a","Jefferson","2500-2999","293"
"2022","11a","Jefferson","2000-2499","95"
"2022","11a","Jefferson","1500-1999","24"
"2022","11a","Jefferson","1000-1499","17"
"2022","11a","Jefferson","Under 1000","15"
"2022","11a","Kings","Total","33,383"
"2022","11a","Kings","Unknown","6"
"2022","11a","Kings","3500+","10,160"
"2022","11a","Kings","3000-3499","13,576"
"2022","11a","Kings","2500-2999","6,994"
"2022","11a","Kings","2000-2499","1,766"
"2022","11a","Kings","1500-1999","521"
"2022","11a","Kings","1000-1499","203"
"2022","11a","Kings","Under 1000","157"
"2022","11a","Lewis","Unknown","2"
"2022","11a","Lewis","Total","311"
"2022","11a","Lewis","Under 1000","2"
"2022","11a","Lewis","1000-1499","3"
"2022","11a","Lewis","1500-1999","5"
"2022","11a","Lewis","2000-2499","17"
"2022","11a","Lewis","2500-2999","47"
"2022","11a","Lewis","3000-3499","111"
"2022","11a","Lewis","3500+","124"
"2022","11a","Livingston","1000-1499","2"
"2022","11a","Livingston","Total","518"
"2022","11a","Livingston","Under 1000","3"
"2022","11a","Livingston","1500-1999","8"
"2022","11a","Livingston","2000-2499","22"
"2022","11a","Livingston","2500-2999","77"
"2022","11a","Livingston","3000-3499","194"
"2022","11a","Livingston","3500+","205"
"2022","11a","Livingston","Unknown","7"
"2022","11a","Madison","Unknown","6"
"2022","11a","Madison","Total","574"
"2022","11a","Madison","Under 1000","0"
"2022","11a","Madison","1000-1499","1"
"2022","11a","Madison","1500-1999","2"
"2022","11a","Madison","2000-2499","45"
"2022","11a","Madison","2500-2999","84"
"2022","11a","Madison","3000-3499","221"
"2022","11a","Madison","3500+","215"
"2022","11a","Monroe","3500+","2,556"
"2022","11a","Monroe","Total","7,437"
"2022","11a","Monroe","Under 1000","80"
"2022","11a","Monroe","1000-1499","57"
"2022","11a","Monroe","1500-1999","128"
"2022","11a","Monroe","2000-2499","462"
"2022","11a","Monroe","2500-2999","1,411"
"2022","11a","Monroe","3000-3499","2,741"
"2022","11a","Monroe","Unknown","2"
"2022","11a","Montgomery","3000-3499","224"
"2022","11a","Montgomery","Total","611"
"2022","11a","Montgomery","Under 1000","4"
"2022","11a","Montgomery","Unknown","46"
"2022","11a","Montgomery","1000-1499","4"
"2022","11a","Montgomery","1500-1999","3"
"2022","11a","Montgomery","2000-2499","27"
"2022","11a","Montgomery","2500-2999","92"
"2022","11a","Montgomery","3500+","211"
"2022","11a","Nassau","2500-2999","2,822"
"2022","11a","Nassau","Unknown","5"
"2022","11a","Nassau","3500+","4,307"
