Year,Source,Grade,Subject,Tested,Proficient,AllStudents,Tested_PCT,SUBJECT,CohortPCT,PCT,
2006,https://data.nysed.gov/files/reportcards/archive/2005-06/AOR-2006-430700010000.pdf,4,ELA,172,88,180,95.6,ELA,51.2,51.2,
2006,https://data.nysed.gov/files/reportcards/archive/2005-06/AOR-2006-430700010000.pdf,4,MATH,184,121,180,102.2,MATH,65.8,65.8,
2006,https://data.nysed.gov/files/reportcards/archive/2005-06/AOR-2006-430700010000.pdf,8,ELA,170,75,171,99.4,ELA,44.1,44.1,
2006,https://data.nysed.gov/files/reportcards/archive/2005-06/AOR-2006-430700010000.pdf,8,MATH NYSTP,175,80,171,102.3,MATH,45.7,45.7,
2007,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-2007-430700010000.pdf,3,ELA,,,,,ELA,63,63,
2007,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-2007-430700010000.pdf,3,MATH,,,,,MATH,84,84,
2007,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-2007-430700010000.pdf,4,ELA,174,106,169,103,ELA,60.9,60.9,
2007,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-2007-430700010000.pdf,4,MATH,176,121,169,104.1,MATH,68.8,68.8,
2007,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-2007-430700010000.pdf,8,ELA,236,120,233,101.3,ELA,50.8,50.8,
2007,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-2007-430700010000.pdf,8,MATH NYSTP,197,107,233,101.7,MATH,54.3,54.3,
2008,https://data.nysed.gov/files/reportcards/archive/2007-08/AOR-2008-430700010000.pdf,3,ELA,,,,,ELA,65,65,
2008,https://data.nysed.gov/files/reportcards/archive/2007-08/AOR-2008-430700010000.pdf,3,MATH,,,,,MATH,90,90,
2008,https://data.nysed.gov/files/reportcards/archive/2007-08/AOR-2008-430700010000.pdf,4,ELA,182,121,185,98.4,ELA,66.5,66.5,
2008,https://data.nysed.gov/files/reportcards/archive/2007-08/AOR-2008-430700010000.pdf,4,MATH,183,147,185,98.9,MATH,80.3,80.3,
2008,https://data.nysed.gov/files/reportcards/archive/2007-08/AOR-2008-430700010000.pdf,8,ELA,197,106,196,100.5,ELA,53.8,53.8,
2008,https://data.nysed.gov/files/reportcards/archive/2007-08/AOR-2008-430700010000.pdf,8,MATH NYSTP,200,162,196,102,MATH,81,81,
2009,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2010-430700010000.pdf,3,ELA,,,,,ELA,78,78,
2009,https://data.nysed.gov/files/reportcards/archive/2008-09/AOR-2009-430700010000.pdf,3,MATH,,,,,MATH,91,91,
2009,https://data.nysed.gov/files/reportcards/archive/2008-09/AOR-2009-430700010000.pdf,4,ELA,206,131,149,101.3,ELA,63.6,63.6,
2009,https://data.nysed.gov/files/reportcards/archive/2008-09/AOR-2009-430700010000.pdf,4,MATH,153,129,149,102.7,MATH,84.3,84.3,
2009,https://data.nysed.gov/files/reportcards/archive/2008-09/AOR-2009-430700010000.pdf,8,ELA,206,132,203,101.5,ELA,64.1,64.1,
2009,https://data.nysed.gov/files/reportcards/archive/2008-09/AOR-2009-430700010000.pdf,8,MATH NYSTP,205,172,203,101,MATH,83.9,83.9,
2010,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2008-430700010000.pdf,3,ELA,173,81,,,ELA,46.8,46.8,
2010,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2008-430700010000.pdf,3,MATH,173,99,,,MATH,57.2,57.2,
2010,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2010-430700010000.pdf,4,ELA,162,87,160,101.3,ELA,53.7,53.7,
2010,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2010-430700010000.pdf,4,MATH,162,87,160,101.3,MATH,53.7,53.7,
2010,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2010-430700010000.pdf,8,ELA,170,54,159,106.9,ELA,31.8,31.8,
2010,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-2010-430700010000.pdf,8,MATH NYSTP,169,62,159,106.3,MATH,36.7,36.7,
2011,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2011&createreport=1&38ELA=1&38MATH=1,3,ELA,,,,,ELA,48,48,
2011,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2011&createreport=1&38ELA=1&38MATH=1,3,MATH,,,,,MATH,48,48,
2011,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2011&createreport=1&38ELA=1&38MATH=1#panel1d,4,ELA,178,82,176,101.1,ELA,46.1,46.1,
2011,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2011&createreport=1&38ELA=1&38MATH=1#panel1d,4,MATH,176,95,176,100,MATH,54,54,
2011,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2011&createreport=1&38ELA=1&38MATH=1,8,ELA,166,70,176,94.3,ELA,42.2,42.2,
2011,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2011&createreport=1&38ELA=1&38MATH=1,8,MATH NYSTP,166,78,176,94.3,MATH,47,47,
2012,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2012&createreport=1&38ELA=1&38MATH=1,3,ELA,143,33,,,ELA,23.1,23.1,
2012,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2012&createreport=1&38ELA=1&38MATH=1,3,MATH,,,,,MATH,59,59,
2012,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2012&createreport=1&38ELA=1&38MATH=1#panel1d,4,ELA,162,83,173,93.6,ELA,51.2,51.2,
2012,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2012&createreport=1&38ELA=1&38MATH=1#panel1d,4,MATH,167,92,173,96.5,MATH,55.1,55.1,
2012,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2012&createreport=1&38ELA=1&38MATH=1,8,ELA,182,89,190,95.8,ELA,48.9,48.9,
2012,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2012&createreport=1&38ELA=1&38MATH=1,8,MATH NYSTP,188,107,190,98.9,MATH,56.9,56.9,
2013,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2013&createreport=1&38ELA=1&38MATH=1,3,ELA,,,,155,ELA,20,20,
2013,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2013&createreport=1&38ELA=1&38MATH=1,3,MATH,,,,155,MATH,16,16,
2013,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2013&subject=ELA&grades%5B%5D=4&prof24=0,4,ELA,141,30,143,98.6,ELA,21.3,21.3,
2013,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2013&subject=Mathematics&grades%5B%5D=4&prof24=4,4,MATH,141,35,143,98.6,MATH,24.8,24.8,
2013,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2013&createreport=1&38ELA=1&38MATH=1,8,ELA,143,33,147,97.3,ELA,23.1,23.1,
2013,https://data.nysed.gov/reportcard.php?instid=800000040585&year=2013&createreport=1&38ELA=1&38MATH=1,8,MATH NYSTP,141,18,147,95.9,MATH,12.8,12.8,
2014,https://data.nysed.gov/assessment38.php?subject=ELA&year=2015&instid=800000040585,3,ELA,,,169,,ELA,19,19,
2014,https://data.nysed.gov/assessment38.php?subject=Mathematics&year=2015&instid=800000040585,3,MATH,,,169,,MATH,21,21,
2014,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2014&subject=ELA&grades%5B%5D=4&prof24=0,4,ELA,141,30,148,95.3,ELA,21.3,21.3,
2014,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2014&subject=Mathematics&grades%5B%5D=4&prof24=3,4,MATH,143,32,148,96.6,MATH,22.4,22.4,
2014,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2014&subject=Mathematics&grades%5B%5D=8&prof24=0,8,MATH NYSTP,91,1,165,55.2,MATH,1.1,1.1,
2014,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2014&subject=ELA&grades%5B%5D=8&prof24=0,8,ELA,148,24,165,89.7,ELA,16.2,16.2,
2015,https://data.nysed.gov/assessment38.php?subject=ELA&year=2015&instid=800000040585,3,ELA,,,163,,ELA,20,20,
2015,https://data.nysed.gov/assessment38.php?subject=Mathematics&year=2015&instid=800000040585,3,MATH,,,163,,MATH,22,22,
2015,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2015&subject=ELA&grades%5B%5D=4&prof24=0,4,ELA,126,21,161,78.3,ELA,16.7,16.7,
2015,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2015&subject=Mathematics&grades%5B%5D=4&prof24=2,4,MATH,115,25,161,71.4,MATH,21.7,21.7,
2015,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2015&subject=Mathematics&grades%5B%5D=8&prof24=0,8,MATH NYSTP,74,1,160,46.3,MATH,1.4,0.9,
2015,https://data.nysed.gov/assessment38.php?instid=800000040585&year=2015&subject=Mathematics&grades%5B%5D=8&prof24=0,8,MATH Regents,32,31,160,46.3,MATH,96.9,29.2,
