District,County,ELA rank,% proficient ELA,Math rank,% proficient math
BRONXVILLE UFSD,Westchester,1,89%,1,88%
JERICHO UFSD,Nassau,2,88%,2,87%
SCARSDALE UFSD,Westchester,3,85%,2,87%
EAST WILLISTON UFSD,Nassau,4,83%,2,87%
HERRICKS UFSD,Nassau,4,83%,5,85%
CHAPPAQUA CSD,Westchester,6,82%,N/A,N/A
MANHASSET UFSD,Nassau,6,82%,7,82%
RYE CITY SD,Westchester,6,82%,10,80%
EDGEMONT UFSD,Westchester,9,81%,N/A,N/A
HASTINGS-ON-HUDSON UFSD,Westchester,9,81%,N/A,N/A
BRIARCLIFF MANOR UFSD,Westchester,9,81%,12,79%
GREAT NECK UFSD,Nassau,12,80%,9,81%
BYRAM HILLS CSD,Westchester,13,79%,7,82%
COLD SPRING HARBOR CSD,Suffolk,13,79%,14,78%
BLIND BROOK-RYE UFSD,Westchester,15,78%,N/A,N/A
NORTH SHORE CSD,Nassau,15,78%,5,85%
QUOGUE UFSD,Suffolk,15,78%,24,73%
SYOSSET CSD,Nassau,18,77%,N/A,N/A
IRVINGTON UFSD,Westchester,19,76%,15,77%
KATONAH-LEWISBORO UFSD,Westchester,20,75%,34,69%
PELHAM UFSD,Westchester,20,75%,40,68%
GARDEN CITY UFSD,Nassau,22,74%,10,80%
ROSLYN UFSD,Nassau,22,74%,12,79%
ARDSLEY UFSD,Westchester,22,74%,34,69%
GARRISON UFSD,Putnam,25,73%,N/A,N/A
FAYETTEVILLE-MANLIUS CSD,Onondaga,25,73%,15,77%
AMAGANSETT UFSD,Suffolk,25,73%,27,71%
PITTSFORD CSD,Monroe,28,72%,N/A,N/A
PLAINVIEW-OLD BETHPAGE CSD,Nassau,28,72%,N/A,N/A
HONEOYE FALLS-LIMA CSD,Monroe,28,72%,40,68%
WILLIAMSVILLE CSD,Erie,31,71%,63,62%
GREENWOOD LAKE UFSD,Orange,32,70%,20,75%
NEW HYDE PARK-GARDEN CITY PARK UFSD,Nassau,32,70%,22,74%
BETHPAGE UFSD,Nassau,32,70%,27,71%
DOBBS FERRY UFSD,Westchester,32,70%,27,71%
CLARENCE CSD,Erie,32,70%,40,68%
HEWLETT-WOODMERE UFSD,Nassau,32,70%,63,62%
LAKE PLEASANT CSD,Hamilton,32,70%,233,41%
RYE NECK UFSD,Westchester,39,69%,20,75%
MAMARONECK UFSD,Westchester,39,69%,27,71%
PLEASANTVILLE UFSD,Westchester,39,69%,34,69%
SKANEATELES CSD,Onondaga,39,69%,50,66%
CROTON-HARMON UFSD,Westchester,39,69%,53,65%
ROCKVILLE CENTRE UFSD,Nassau,44,68%,N/A,N/A
FLORAL PARK-BELLEROSE UFSD,Nassau,44,68%,31,70%
THREE VILLAGE CSD,Suffolk,44,68%,40,68%
HARBORFIELDS CSD,Suffolk,44,68%,50,66%
VOORHEESVILLE CSD,Albany,44,68%,55,64%
HALDANE CSD,Putnam,44,68%,59,63%
MONTAUK UFSD,Suffolk,44,68%,157,49%
LOCUST VALLEY CSD,Nassau,51,67%,15,77%
MERRICK UFSD,Nassau,51,67%,18,76%
BETHLEHEM CSD,Albany,51,67%,40,68%
PENFIELD CSD,Monroe,51,67%,40,68%
EASTCHESTER UFSD,Westchester,51,67%,47,67%
SHENENDEHOWA CSD,Saratoga,51,67%,50,66%
EAST MEADOW UFSD,Nassau,57,66%,22,74%
PUTNAM VALLEY CSD,Putnam,57,66%,47,67%
POCANTICO HILLS CSD,Westchester,57,66%,63,62%
EAST AURORA UFSD,Erie,57,66%,114,54%
MILLBROOK CSD,Dutchess,61,65%,N/A,N/A
PORT WASHINGTON UFSD,Nassau,61,65%,N/A,N/A
CORNWALL CSD,Orange,61,65%,55,64%
ISLAND TREES UFSD,Nassau,61,65%,59,63%
SEAFORD UFSD,Nassau,61,65%,63,62%
KINGS PARK CSD,Suffolk,66,64%,N/A,N/A
YORKTOWN CSD,Westchester,66,64%,59,63%
NISKAYUNA CSD,Schenectady,66,64%,70,61%
VALLEY STREAM 30 UFSD,Nassau,66,64%,83,58%
ELWOOD UFSD,Suffolk,66,64%,101,56%
PORT JEFFERSON UFSD,Suffolk,71,63%,N/A,N/A
HARRISON CSD,Westchester,71,63%,34,69%
LYNBROOK UFSD,Nassau,71,63%,63,62%
LAKE GEORGE CSD,Warren,71,63%,83,58%
ORCHARD PARK CSD,Erie,71,63%,109,55%
FLORIDA UFSD,Orange,71,63%,145,50%
NORTH MERRICK UFSD,Nassau,77,62%,25,72%
WESTHAMPTON BEACH UFSD,Suffolk,77,62%,31,70%
SEWANHAKA CENTRAL HS DISTRICT,Nassau,77,62%,34,69%
