Year,Source,Count,Enrollment,Proportion,NonEnglishLearners,Facet,,s
1996-97,https://data.nysed.gov/files/reportcards/archive/1998-99/430700010000.pdf,75,,0.029,,1996-97 to 2009-10,,
1997-98,https://data.nysed.gov/files/reportcards/archive/1998-99/430700010000.pdf,85,2568,0.034,,1996-97 to 2009-10,,
1998-99,https://data.nysed.gov/files/reportcards/archive/2000-01/430700010000.pdf,115,2568,0.045,,1996-97 to 2009-10,,
1999-00,https://data.nysed.gov/files/reportcards/archive/2000-01/430700010000.pdf,117,2603,0.045,,1996-97 to 2009-10,,
2000-01,https://data.nysed.gov/files/reportcards/archive/2000-01/430700010000.pdf,128,2646,0.048,,1996-97 to 2009-10,,
2001-02,https://data.nysed.gov/files/reportcards/archive/2001-02/cir/430700010000.pdf,106,2623,0.041,,1996-97 to 2009-10,,
2002-03,https://data.nysed.gov/files/reportcards/archive/2002-03/cir/430700010000.pdf,71,2625,0.027,,1996-97 to 2009-10,,
2003-04,https://data.nysed.gov/files/reportcards/archive/2003-04/cir/430700010000.pdf,83,2534,0.033,,1996-97 to 2009-10,,
2004-05,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-07-430700010000.pdf,83,2485,0.034,,1996-97 to 2009-10,,
2005-06,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-07-430700010000.pdf,96,2473,0.039,,1996-97 to 2009-10,,
2006-07,https://data.nysed.gov/files/reportcards/archive/2006-07/AOR-07-430700010000.pdf,78,2414,0.032,,1996-97 to 2009-10,,
2007-08,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-10-430700010000.pdf,114,2341,0.049,,1996-97 to 2009-10,,
2008-09,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-10-430700010000.pdf,119,2287,0.052,,1996-97 to 2009-10,,
2009-10,https://data.nysed.gov/files/reportcards/archive/2009-10/AOR-10-430700010000.pdf,96,2210,0.043,,1996-97 to 2009-10,,
2010-11,https://data.nysed.gov/files/reportcards/archive/2011-12/RC-2012-430700010000.pdf,134,2188,0.061,,2010-11 to Present,,
2011-12,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,133,2277,0.058,2144,2010-11 to Present,,
2012-13,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,118,2251,0.052,2133,2010-11 to Present,,
2013-14,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,137,2229,0.061,2092,2010-11 to Present,,
2014-15,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,150,2231,0.067,2081,2010-11 to Present,,
2015-16,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,190,2261,0.084,2071,2010-11 to Present,,
2016-17,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,202,2224,0.091,2022,2010-11 to Present,,
2017-18,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,206,2262,0.091,2056,2010-11 to Present,,
2018-19,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,210,2248,0.093,2038,2010-11 to Present,,
2019-20,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,197,2169,0.091,1972,2010-11 to Present,,
2020-21,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,210,2126,0.099,1904,2010-11 to Present,,
2021-22,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,197,2167,0.091,1970,2010-11 to Present,,
2022-23,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,186,2112,0.088,1926,2010-11 to Present,,
2023-24,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,182,2082,0.087,1900,2010-11 to Present,,
2024-25,http://www.p12.nysed.gov/irs/statistics/enroll-n-staff/home.html,171,2038,0.084,1867,2010-11 to Present,,
