Community,Source,Year,Income,Yr
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2010,37292,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2010,56468,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2010,55603,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2011,39269,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2011,57069,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2011,56951,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2012,37438,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2012,56455,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2012,57683,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2013,39577,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2013,56479,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2013,58003,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2014,40428,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2014,57318,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2014,58687,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2015,40000,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2015,57416,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2015,59269,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2016,37975,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2016,58070,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2016,60741,2010-2018
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2017,40920,2010-2018
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2017,61710,2010-2018
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2017,62765,2010-2018
City of Geneva,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=23&hidePreview=true&moe=false,2018,40164,2010-2018
Ontario,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_0500000US36069&lastDisplayedRow=83&vintage=2018&mode=&hidePreview=true&moe=false,2018,63359,2010-2018
NYS,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=23&hidePreview=true&moe=false,2018,65323,2010-2018
City of Geneva,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&hidePreview=true&moe=false,2019,44050,2019-2023
Ontario,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&hidePreview=true&moe=false,2019,64944,2019-2023
NYS,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&hidePreview=true&moe=false,2019,68486,2019-2023
City of Geneva,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2020.DP03,2020,42272,2019-2023
Ontario,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2020.DP03,2020,64795,2019-2023
NYS,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2020.DP03,2020,71117,2019-2023
City of Geneva,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP03,2021,56019,2019-2023
Ontario,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP03,2021,70694,2019-2023
NYS,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP03,2021,75157,2019-2023
City of Geneva,https://data.census.gov/table/ACSDP5Y2022.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2022.DP03,2022,63602,2019-2023
Ontario,https://data.census.gov/table/ACSDP5Y2022.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2022.DP03,2022,76603,2019-2023
NYS,https://data.census.gov/table/ACSDP5Y2022.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2022.DP03,2022,81386,2019-2023
City of Geneva,https://data.census.gov/table/ACSDP5Y2023.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles,2023,68242,2019-2023
Ontario,https://data.census.gov/table/ACSDP5Y2023.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles,2023,79814,2019-2023
NYS,https://data.census.gov/table/ACSDP5Y2023.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles,2023,84578,2019-2023
