Community,Source,Year,Families,PCT,Poverty
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,2483,17.3,430
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,2490,14.4,359
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2010,3863,11.6,448
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2011,3843,12.6,484
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,3717,14,520
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,3826,13.1,501
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,3832,13,498
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,3685,13.2,486
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,3706,15,556
Geneva GCSD,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,3624,15.1,547
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,986,4.6,45
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,833,20.4,170
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2010,4656115,10.8,502860
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2011,4656855,11,512254
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,4646324,11.4,529681
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,4637549,11.7,542593
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,4636017,12,556322
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,4625960,12,555115
