Community,Source,Year,Population,Poverty,PCT,Proportion
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,10890,2362,21.7,0.217
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,105958,10898,10.3,0.103
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,95068,8536,9,0.09
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,19186062,2967564,15.5,0.155
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,10779,2038,18.9,0.189
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,106089,10343,9.7,0.097
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,95310,8305,8.7,0.087
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,19285448,2908471,15.1,0.151
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,10863,2619,24.1,0.241
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,105664,10975,10.4,0.104
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,94801,8356,8.8,0.088
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,19164034,3005943,15.7,0.157
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,10874,2738,25.2,0.252
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,105467,11010,10.4,0.104
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,94593,8272,8.7,0.087
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,19082682,2978521,15.6,0.156
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,10869,2642,24.3,0.243
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,104799,9983,9.5,0.095
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,93930,7341,7.8,0.078
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,18975362,2903982,15.3,0.153
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,10800,2800,25.9,0.259
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,104195,10028,9.6,0.096
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,93395,7228,7.7,0.077
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,18885925,2814409,14.9,0.149
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2018,10587,2171,20.5,0.205
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2018,106119,10203,9.6,0.096
Ontario wo Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2018,95532,8032,8.4,0.084
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/S1701/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2018,19108993,2797985,14.6,0.146
City of Geneva,"https://data.census.gov/cedsci/table?q=poverty%20by%20race%20new%20york%20state,%20geneva,%20ny&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2019.S1701&layer=place&hidePreview=true&moe=false",2019,10455,1913,18.3,0.183
Ontario,"https://data.census.gov/cedsci/table?q=poverty%20by%20race%20new%20york%20state,%20geneva,%20ny&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2019.S1701&layer=place&hidePreview=true&moe=false",2019,106104,9193,8.7,0.087
NYS,"https://data.census.gov/cedsci/table?q=poverty%20by%20race%20new%20york%20state,%20geneva,%20ny&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2019.S1701&layer=place&hidePreview=true&moe=false",2019,19063180,2681277,14.1,0.141
City of Geneva,https://data.census.gov/cedsci/table?q=B17001F%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2020.S1701&moe=false,2020,10448,1968,18.8,0.188
Ontario,https://data.census.gov/cedsci/table?q=B17001F%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2020.S1701&moe=false,2020,106375,9619,9,0.09
NYS,https://data.census.gov/cedsci/table?q=B17001F%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2020.S1701&moe=false,2020,19009098,2581048,13.6,0.136
City of Geneva,https://data.census.gov/table?q=S1701+POVERTY+STATUS+IN+THE+PAST+12+MONTHS+&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2021.S1701&moe=false,2021,10297,1920,18.6,0.186
Ontario,https://data.census.gov/table?q=S1701+POVERTY+STATUS+IN+THE+PAST+12+MONTHS+&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2021.S1701&moe=false,2021,108685,9284,8.5,0.085
NYS,https://data.census.gov/table?q=S1701+POVERTY+STATUS+IN+THE+PAST+12+MONTHS+&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2021.S1701&moe=false,2021,19604130,2636823,13.5,0.135
City of Geneva,https://data.census.gov/table/ACSST5Y2022.S1701?q=S1701%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=160XX00US3628640_050XX00US36069_010XX00US_040XX00US36&moe=false&tid=ACSST1Y2022.S1701,2022,10437,1938,18.6,0.186
Ontario,https://data.census.gov/table/ACSST5Y2022.S1701?q=S1701%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=160XX00US3628640_050XX00US36069_010XX00US_040XX00US36&moe=false&tid=ACSST1Y2022.S1701,2022,108869,9803,9,0.09
NYS,https://data.census.gov/table/ACSST5Y2022.S1701?q=S1701%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=160XX00US3628640_050XX00US36069_010XX00US_040XX00US36&moe=false&tid=ACSST1Y2022.S1701,2022,19516967,2655662,13.6,0.136
City of Geneva,https://data.census.gov/table/ACSST5Y2022.S1701?q=S1701%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20&t=Poverty&g=160XX00US3628640_050XX00US36069_010XX00US_040XX00US36&moe=false&tid=ACSST1Y2022.S1701,2023,10241,1870,18.3,0.183
