Community,Source,Year,Rate
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/10_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2010,27.3
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/10_5YR/DP03/0400000US36|0500000US36069|0600000US3606928642,2010,19.9
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/10_5YR/DP03/0400000US36|0500000US36069|0600000US3606928641,2010,11.8
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/11_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2011,31.5
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/11_5YR/DP03/0400000US36|0500000US36069|0600000US3606928642,2011,20.3
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/11_5YR/DP03/0400000US36|0500000US36069|0600000US3606928641,2011,13.2
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2012,35.2
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/DP03/0400000US36|0500000US36069|0600000US3606928642,2012,21
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/12_5YR/DP03/0400000US36|0500000US36069|0600000US3606928641,2012,12
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2013,32.3
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/DP03/0400000US36|0500000US36069|0600000US3606928642,2013,21.7
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/DP03/0400000US36|0500000US36069|0600000US3606928641,2013,11.7
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2014,35.6
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2014,22.1
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/14_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2014,13.6
US,https://data.census.gov/cedsci/table?q=DP03&tid=ACSDP1Y2019.DP03,2014,21.9
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2015,33.3
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2015,22.2
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/15_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2015,13.5
US,https://data.census.gov/cedsci/table?q=DP03&tid=ACSDP1Y2019.DP03,2015,21.7
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2016,32.2
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/DP03/0400000US36|0500000US36069|0600000US3606928642,2016,21.9
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/16_5YR/DP03/0400000US36|0500000US36069|0600000US3606928641,2016,13.3
US,https://data.census.gov/cedsci/table?q=DP03&tid=ACSDP1Y2019.DP03,2016,21.2
City of Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640,2017,30.9
NYS,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928642,2017,21.3
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928641,2017,12.9
US,https://data.census.gov/cedsci/table?q=DP03&tid=ACSDP1Y2019.DP03,2017,20.3
City of Geneva,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=112&hidePreview=true&moe=false,2018,29.7
NYS,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=112&hidePreview=true&moe=false,2018,20.6
Ontario,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_0500000US36069&lastDisplayedRow=144&hidePreview=true&moe=false,2018,13
US,https://data.census.gov/cedsci/table?q=DP03&tid=ACSDP1Y2019.DP03,2018,19.5
City of Geneva,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=false,2019,24.8
NYS,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=false,2019,19.6
Ontario,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=false,2019,11.4
US,https://data.census.gov/cedsci/table?q=DP03&tid=ACSDP1Y2019.DP03,2019,18.5
City of Geneva,https://data.census.gov/cedsci/table?q=B17001F%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20by%20race&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2020.S1701,2020,23.9
NYS,https://data.census.gov/cedsci/table?q=B17001F%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS%20by%20race&t=Poverty&g=0100000US_0400000US36_0500000US36069_1600000US3628640&tid=ACSST5Y2020.S1701,2020,18.7
