Community,Source,Year,Households,SNAP,PCT,PA,Amount,PAPCT
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2019,4529,1045,23.1,279,3093,6.2
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2018,4545,1134,25,259,3793,5.7
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2017,4758,1087,22.8,279,3532,5.9
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2016,4782,1085,22.7,308,4324,6.4
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2015,4694,1072,22.8,354,4350,7.5
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2014,4767,930,19.5,204,4648,4.3
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2013,4736,821,17.3,204,4101,4.3
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2012,4992,811,16.2,266,4185,5.3
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2011,4935,808,16.4,290,5253,5.9
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2019,44787,4236,9.5,1095,2839,2.4
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2018,44286,4248,9.6,1064,2839,2.4
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2017,44269,4324,9.8,1036,2778,2.3
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2016,44180,4653,10.5,1212,3208,2.7
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2015,44252,4518,10.2,1286,4021,2.9
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2014,44198,4300,9.7,1092,4264,2.5
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2013,43794,4038,9.2,1155,4198,2.6
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2012,43822,3579,8.2,1144,4239,2.6
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2011,43474,3236,7.4,1078,4680,2.5
Ontario wo Geneva,Data above,2019,40258,3191,7.9,816,2752,2
Ontario wo Geneva,Data above,2018,39741,3114,7.8,805,2532,2
Ontario wo Geneva,Data above,2017,39511,3237,8.2,757,2500,1.9
Ontario wo Geneva,Data above,2016,39398,3568,9.1,904,2828,2.3
Ontario wo Geneva,Data above,2015,39558,3446,8.7,932,3896,2.4
Ontario wo Geneva,Data above,2014,39431,3370,8.5,888,4176,2.3
Ontario wo Geneva,Data above,2013,39058,3217,8.2,951,4219,2.4
Ontario wo Geneva,Data above,2012,38830,2768,7.1,878,4255,2.3
Ontario wo Geneva,Data above,2011,38539,2428,6.3,788,4469,2
Geneva,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2020,4895,1062,21.7,138,2205,2.8
Ontario,https://data.census.gov/cedsci/table?q=snap&g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2011.DP03&moe=false&hidePreview=false,2020,45711,4376,9.6,1186,2708,2.6
Ontario wo Geneva,Data above,2020,40816,3314,8.1,1048,2774,2.6
Geneva,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP03&moe=false,2021,4655,1005,21.6,239,3884,5.1
Ontario,https://data.census.gov/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS+5-Year+Estimates+Data+Profiles&tid=ACSDP5Y2021.DP03&moe=false,2021,46547,4094,8.8,1417,3343,3
Ontario wo Geneva,Data above,2021,41892,3089,7.4,1178,3233,2.8
Geneva,https://data.census.gov/table/ACSDP5Y2022.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&moe=false&tid=ACSDP5Y2022.DP03,2022,4759,979,20.6,199,4107,4.2
Ontario,https://data.census.gov/table/ACSDP5Y2022.DP03?g=160XX00US3628640_050XX00US36069_040XX00US36&d=ACS%205-Year%20Estimates%20Data%20Profiles&moe=false&tid=ACSDP5Y2022.DP03,2022,47080,4072,8.8,1290,3409,2.7
Ontario wo Geneva,Data above,2022,42321,3093,7.3,1091,3282,2.6
