Community,Source,Year,AllHouseholds,Households w Child Under 18,TANF,SNAP,SNAPPCT,TANFPCT,Notes,,
Geneva,Charmagne.Miller@co.ontario.ny.us,2019,4529,1323,149,1329,29.3,11.3,"https://data.census.gov/cedsci/table?q=households%20%22geneva%20city,%20ny%22&tid=ACSDP5Y2018.DP02&hidePreview=false",,
Geneva,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=144&hidePreview=true&moe=false,2018,4545,1330,164,950,20.9,12.3,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP02&tid=ACSDP5Y2018.DP02&y=2018&g=0400000US36_0500000US36069&lastDisplayedRow=28,,
Geneva,http://www.co.ontario.ny.us/DocumentCenter/View/14319/Annual Report 2017,2017,4758,1270,196,1047,22,15.4,,,.
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,4782,1287,205,1023,21.4,15.9,,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,4694,1238,201,1214,25.9,16.2,,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,4767,1194,231,1253,26.3,19.3,TANF = columns 11 and 12,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,4736,1183,203,1219,25.7,17.2,,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,4992,1299,218,861,17.2,16.8,,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2011,4935,1420,216,864,17.5,15.2,,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2010,5174,1428,221,865,16.7,15.5,,,
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2009,5045,1400,204,811,16.1,14.6,,,
Ontario,Charmagne.Miller@co.ontario.ny.us,2019,44787,12378,879,6819,15.2,7.1,"https://data.census.gov/cedsci/table?q=households%20ontario%20county,%20ny&tid=ACSDP5Y2019.DP02&hidePreview=false",,
Ontario,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_0500000US36069&lastDisplayedRow=144&hidePreview=true&moe=false,2018,44286,12136,739,4251,9.6,6.1,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2017,44269,12440,817,4532,10.2,6.6,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2016,44180,12567,763,4484,10.1,6.1,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2015,44252,12509,785,4900,11.1,6.3,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2014,44198,12739,778,4988,11.3,6.1,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2013,43794,13171,763,5033,11.5,5.8,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2012,43822,13135,776,3442,7.9,5.9,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2011,43474,13254,789,3430,7.9,6,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2010,42952,13539,752,3448,8,5.6,,,
Ontario,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2009,41469,13170,736,2924,7.1,5.6,,,
Ontario wo Geneva,Data above,2019,40258,11055,683,5490,13.6,6.2,Geneva=City,,
Ontario wo Geneva,Data above,2018,39741,11140,575,3437,8.6,5.2,,,
Ontario wo Geneva,Data above,2017,39691,11170,621,3485,8.8,5.6,,,
Ontario wo Geneva,Data above,2016,39398,11280,558,3461,8.8,4.9,,,
Ontario wo Geneva,Data above,2015,39558,11271,584,3686,9.3,5.2,,,
Ontario wo Geneva,Data above,2014,39431,11545,547,3735,9.5,4.7,,,
Ontario wo Geneva,Data above,2013,39058,11988,560,3814,9.8,4.7,,,
Ontario wo Geneva,Data above,2012,38830,11836,558,2581,6.6,4.7,,,
Ontario wo Geneva,Data above,2011,38539,11834,573,2566,6.7,4.8,,,
Ontario wo Geneva,Data above,2010,37778,12111,531,2583,6.8,4.4,,,
Ontario wo Geneva,Data above,2009,36424,11770,532,2113,5.8,4.5,,,
Geneva Town,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2018,,325,39,136,,12,Not Used,,
